,title,venue,pages,year,type,access,doi
20961,An Online Evaluation of Explicit Feedback Mechanisms for Recommender Systems.,WEBIST,391-394,2011,Conference and Workshop Papers,unavailable,
20962,A personalized recommender system for the cosmetic business.,Expert Syst. Appl.,427-434,2004,Journal Articles,closed,10.1016/J.ESWA.2003.10.001
20963,Mapping of learning style with learning object metadata for addressing cold-start problem in e-learning recommender systems.,Int. J. Learn. Technol.,267-287,2021,Journal Articles,closed,10.1504/IJLT.2021.121364
20964,Collaborative Spectrum Sensing for Cognitive Radio: Diversity Combining Approach.,Wirel. Sens. Netw.,24-37,2011,Journal Articles,open,10.4236/WSN.2011.31004
20965,Interest Aware Location-Based Recommender System Using Geo-Tagged Social Media.,ISPRS Int. J. Geo Inf.,245,2016,Journal Articles,open,10.3390/IJGI5120245
20966,Towards effective research-paper recommender systems and user modeling based on mind maps.,,,2015,Books and Theses,closed,
20967,Recommender Systems for Software Project Managers.,CoRR,,2021,Informal and Other Publications,open,
20968,P-MMF: Provider Max-min Fairness Re-ranking in Recommender System.,WWW,3701-3711,2023,Conference and Workshop Papers,closed,10.1145/3543507.3583296
20969,Social ranking: uncovering relevant content using tag-based recommender systems.,RecSys,51-58,2008,Conference and Workshop Papers,closed,10.1145/1454008.1454018
20970,Enhancing Neural Recommender Models through Domain-Specific Concordance.,WSDM,1002-1010,2021,Conference and Workshop Papers,closed,10.1145/3437963.3441784
20971,Recommender systems by means of information retrieval.,WIMS,57,2011,Conference and Workshop Papers,closed,10.1145/1988688.1988755
20972,A Machine Learning Approach for Solving the Frozen User Cold-Start Problem in Personalized Mobile Advertising Systems.,Algorithms,72,2022,Journal Articles,open,10.3390/A15030072
20973,A recommender system based on historical usage data for web service discovery.,Serv. Oriented Comput. Appl.,51-63,2012,Journal Articles,closed,10.1007/S11761-011-0099-2
20974,Folksonomy-Based Recommender Systems: A State-of-the-Art Review.,Int. J. Intell. Syst.,314-346,2016,Journal Articles,closed,10.1002/INT.21753
20975,A Collaborative RTK Approach to Precise Positioning for Vehicle Swarms in Urban Scenarios.,PLANS,254-259,2023,Conference and Workshop Papers,closed,10.1109/PLANS53410.2023.10139996
20976,Discrete Personalized Ranking for Fast Collaborative Filtering from Implicit Feedback.,AAAI,1669-1675,2017,Conference and Workshop Papers,open,10.1609/AAAI.V31I1.10764
20977,A graph model for E-commerce recommender systems.,J. Assoc. Inf. Sci. Technol.,259-274,2004,Journal Articles,closed,10.1002/ASI.10372
20978,Alleviating the cold-start playlist continuation in music recommendation using latent semantic indexing.,Int. J. Multim. Inf. Retr.,185-198,2021,Journal Articles,closed,10.1007/S13735-021-00214-5
20979,An Empirical Study of Self-Similarity in the Per-User-Connection Arrival Process.,AICT,101-106,2009,Conference and Workshop Papers,closed,10.1109/AICT.2009.23
20980,Foreword for Workshop on Decision Making for Information Retrieval and Recommender Systems.,WWW,920,2023,Conference and Workshop Papers,closed,10.1145/3543873.3589755
20981,Adaptive Advertisement Recommender Systems for Digital Signage.,AMCIS,,2015,Conference and Workshop Papers,closed,
20982,Graph Neural Networks for Recommender System.,WSDM,1623-1625,2022,Conference and Workshop Papers,closed,10.1145/3488560.3501396
20983,Toward Social-Semantic Recommender Systems.,Int. J. Inf. Syst. Soc. Chang.,1-30,2016,Journal Articles,closed,10.4018/IJISSC.2016010101
20984,Structure Aware Incremental Learning with Personalized Imitation Weights for Recommender Systems.,AAAI,4711-4719,2023,Conference and Workshop Papers,open,10.1609/AAAI.V37I4.25595
20985,Optimal recommender systems blending.,WIMS,60,2011,Conference and Workshop Papers,closed,10.1145/1988688.1988758
20986,A Personalized System for Conversational Recommendations.,J. Artif. Intell. Res.,393-428,2004,Journal Articles,open,10.1613/JAIR.1318
20987,Comparing keywords and taxonomies in the representation of users profiles in a content-based recommender system.,SAC,2030-2034,2008,Conference and Workshop Papers,closed,10.1145/1363686.1364177
20988,WSRank: A Collaborative Ranking Approach for Web Service Selection.,CIT,103-108,2011,Conference and Workshop Papers,closed,10.1109/CIT.2011.30
20989,Show Me The Best Outfit for A Certain Scene: A Scene-aware Fashion Recommender System.,WWW,1172-1180,2023,Conference and Workshop Papers,closed,10.1145/3543507.3583435
20990,A Knowledge-driven Approach for Human-Robot Collaborative Manufacturing.,RobOntics@RO-MAN,,2023,Conference and Workshop Papers,open,
20991,POSO: Personalized Cold Start Modules for Large-scale Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
20992,Research on recommender system based on ontology and genetic algorithm.,Neurocomputing,92-97,2016,Journal Articles,closed,10.1016/J.NEUCOM.2015.09.113
20993,A Novel Overlapping Method to Alleviate the Cold-Start Problem in Recommendation Systems.,Int. J. Softw. Eng. Knowl. Eng.,1277-1297,2021,Journal Articles,closed,10.1142/S0218194021500418
20994,Evaluating Teachers' Perceptions of Learning Design Recommender Systems.,EC-TEL,98-111,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-29736-7_8
20995,A Recommender System for Two-sided Markets: Understanding Customers Sentiment in Social Networks.,AMCIS,,2015,Conference and Workshop Papers,closed,
20996,The use of data mining techniques in location-based recommender system.,WIMS,28,2011,Conference and Workshop Papers,closed,10.1145/1988688.1988721
20997,Identifying Risks and Risk Mitigation Strategies for Collaborative Systems during Requirements Engineering: A Goal-Oriented Approach (S).,SEKE,244-249,2023,Conference and Workshop Papers,closed,10.18293/SEKE2023-227
20998,Investigating the Persuasion Potential of Recommender Systems from a Quality Perspective: An Empirical Study.,ACM Trans. Interact. Intell. Syst.,11:1-11:41,2012,Journal Articles,closed,10.1145/2209310.2209314
20999,Interaction-level Membership Inference Attack Against Federated Recommender Systems.,WWW,1053-1062,2023,Conference and Workshop Papers,closed,10.1145/3543507.3583359
21000,Enhancing Recommender Systems with Large Language Model Reasoning Graphs.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2308.10835
21001,A hybrid web recommender system based on Q-learning.,SAC,1164-1168,2008,Conference and Workshop Papers,closed,10.1145/1363686.1363954
21002,Web mining based framework for solving usual problems in recommender systems. A case study for movies' recommendation.,Neurocomputing,72-80,2016,Journal Articles,closed,10.1016/J.NEUCOM.2014.10.097
21003,Research on Collaborative Filtering Recommendation Algorithm Based on Mahout.,ACIT/CSII/BCD,400-405,2017,Conference and Workshop Papers,closed,10.1109/ACIT-CSII-BCD.2016.084
21004,Incorporating multidimensional information into dynamic recommendation process to cope with cold start and data sparsity problems.,J. Ambient Intell. Humaniz. Comput.,9535-9554,2021,Journal Articles,closed,10.1007/S12652-020-02695-4
21005,TOAST: A Topic-Oriented Tag-Based Recommender System.,WISE,158-171,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-24434-6_12
21006,RGRecSys: A Toolkit for Robustness Evaluation of Recommender Systems.,WSDM,1597-1600,2022,Conference and Workshop Papers,closed,10.1145/3488560.3502192
21007,A Semi-supervised Solution for Cold Start Issue on Recommender Systems.,APWeb,805-817,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-25255-1_66
21008,Supervised-Topic-Model-Based Hybrid Filtering for Recommender Systems.,ACIT/CSII/BCD,266-271,2017,Conference and Workshop Papers,closed,10.1109/ACIT-CSII-BCD.2017.48
21009,"Virtual Mentor and the Lab System - Toward Building an Interactive, Personalized, and Intelligent E-Learning Environment.",J. Comput. Inf. Syst.,35-43,2004,Journal Articles,closed,10.1080/08874417.2004.11647580
21010,AT-NCF: An Attention-based Time-aware Neural Collaborative Filtering Approach for Personalized Recommendation (S).,SEKE,604-607,2023,Conference and Workshop Papers,closed,10.18293/SEKE2023-015
21011,NASRec: Weight Sharing Neural Architecture Search for Recommender Systems.,WWW,1199-1207,2023,Conference and Workshop Papers,closed,10.1145/3543507.3583446
21012,Causal Incremental Graph Convolution for Recommender System Retraining.,CoRR,,2021,Informal and Other Publications,open,
21013,Exploring playlist titles for cold-start music recommendation: an effectiveness analysis.,J. Ambient Intell. Humaniz. Comput.,10125-10144,2021,Journal Articles,closed,10.1007/S12652-020-02777-3
21014,CMPTF: Contextual Modeling Probabilistic Tensor Factorization for recommender systems.,Neurocomputing,141-151,2016,Journal Articles,closed,10.1016/J.NEUCOM.2016.04.016
21015,A Game Theoretic Approach for Analyzing the Efficiency of Web Services in Collaborative Networks.,IEEE SCC,168-175,2011,Conference and Workshop Papers,closed,10.1109/SCC.2011.76
21016,Tag-aware recommender systems by fusion of collaborative filtering algorithms.,SAC,1995-1999,2008,Conference and Workshop Papers,closed,10.1145/1363686.1364171
21017,Research on Automatic Recommender System Based on Data Mining.,WISM,28-35,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-24273-1_4
21018,It's a Match! Reciprocal Recommender System for Graduating Students and Jobs.,EDM,,2019,Conference and Workshop Papers,open,
21019,Variational Bayesian inference for bipartite mixed-membership stochastic block model with applications to collaborative filtering.,Comput. Stat. Data Anal.,107836,2024,Journal Articles,closed,10.1016/J.CSDA.2023.107836
21020,Divide and Conquer: Towards Better Embedding-based Retrieval for Recommender Systems from a Multi-task Perspective.,WWW,366-370,2023,Conference and Workshop Papers,closed,10.1145/3543873.3584629
21021,Extending Recommender Systems for Disjoint User/Item Sets: The Conference Recommendation Problem.,IEEE Trans. Knowl. Data Eng.,1478-1490,2012,Journal Articles,closed,10.1109/TKDE.2011.90
21022,PPS-POI-Rec: A Privacy Preserving Social Point-of-Interest Recommender System.,APWeb,875-878,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-25255-1_75
21023,Collaboratively filtering malware infections: a tensor decomposition approach.,ACM TUR-C,28:1-28:7,2017,Conference and Workshop Papers,closed,10.1145/3063955.3063983
21024,Implementation of Group Formation Algorithms in the ELARS Recommender System.,Int. J. Emerg. Technol. Learn.,198-207,2017,Journal Articles,closed,10.3991/IJET.V12I11.7238
21025,Accuracy improvements for cold-start recommendation problem using indirect relations in social networks.,J. Big Data,98,2021,Journal Articles,open,10.1186/S40537-021-00484-0
21026,SVM-TIA a shilling attack detection method based on SVM and target item analysis in recommender systems.,Neurocomputing,197-205,2016,Journal Articles,closed,10.1016/J.NEUCOM.2015.12.137
21027,A user-centered remote control system for personalized multimedia channel selection.,IEEE Trans. Consumer Electron.,1009-1015,2004,Journal Articles,closed,10.1109/TCE.2004.1362492
21028,One Institution's Approach to Collaborative IT Strategic Plan Development.,SIGUCCS,15-17,2023,Conference and Workshop Papers,closed,10.1145/3539811.3579561
21029,Towards Unbiased and Robust Causal Ranking for Recommender Systems.,WSDM,1158-1167,2022,Conference and Workshop Papers,closed,10.1145/3488560.3498521
21030,Adaptive bootstrapping of recommender systems using decision trees.,WSDM,595-604,2011,Conference and Workshop Papers,closed,10.1145/1935826.1935910
21031,A Recommender Scheme for Peer-to-Peer Systems.,SAINT,197-200,2008,Conference and Workshop Papers,closed,10.1109/SAINT.2008.99
21032,Analyzing Item Popularity Bias of Music Recommender Systems: Are Different Genders Equally Affected?,CoRR,,2021,Informal and Other Publications,open,
21033,Disentangled Causal Embedding With Contrastive Learning For Recommender System.,WWW,406-410,2023,Conference and Workshop Papers,closed,10.1145/3543873.3584637
21034,Incorporating Contextual Information into a Mobile Advertisement Recommender System.,APWeb,879-882,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-25255-1_76
21035,Content-based Course Recommender System for Liberal Arts Education.,EDM,,2019,Conference and Workshop Papers,open,
21036,Tag-aware recommender systems based on deep neural networks.,Neurocomputing,51-60,2016,Journal Articles,closed,10.1016/J.NEUCOM.2015.10.134
21037,A Comprehensive Recommender System Model: Improving Accuracy for Both Warm and Cold Start Users.,IEEE Access,2803-2813,2015,Journal Articles,open,10.1109/ACCESS.2015.2510659
21038,Context-Aware Recommender Systems for Learning: A Survey and Future Challenges.,IEEE Trans. Learn. Technol.,318-335,2012,Journal Articles,closed,10.1109/TLT.2012.11
21039,Recommender systems with social regularization.,WSDM,287-296,2011,Conference and Workshop Papers,closed,10.1145/1935826.1935877
21040,Ontology-based E-learning Content Recommender System for Addressing the Pure Cold-start Problem.,ACM J. Data Inf. Qual.,16:1-16:27,2021,Journal Articles,closed,10.1145/3429251
21041,Increasing consumers' understanding of recommender results: a preference-based hybrid algorithm with strong explanatory power.,RecSys,297-300,2010,Conference and Workshop Papers,closed,10.1145/1864708.1864771
21042,A Model for a Collaborative Recommender System for Multimedia Learning Material.,CRIWG,281-288,2004,Conference and Workshop Papers,closed,10.1007/978-3-540-30112-7_24
21043,On the Collaborative Object Transportation Using Leader Follower Approach.,SMC,4220-4227,2023,Conference and Workshop Papers,closed,10.1109/SMC53992.2023.10394439
21044,A Model-Driven BPM Approach for SOA Mediation Information System Design in a Collaborative Context.,IEEE SCC,747-748,2011,Conference and Workshop Papers,closed,10.1109/SCC.2011.66
21045,RL-MPCA: A Reinforcement Learning Based Multi-Phase Computation Allocation Approach for Recommender Systems.,WWW,3214-3224,2023,Conference and Workshop Papers,closed,10.1145/3543507.3583313
21046,SemTree: Ontology-Based Decision Tree Algorithm for Recommender Systems.,ISWC,,2008,Conference and Workshop Papers,open,
21047,Lorentzian Graph Convolution Networks for Collaborative Filtering.,IJCNN,1-8,2023,Conference and Workshop Papers,closed,10.1109/IJCNN54540.2023.10191482
21048,Improving recommender systems' performance on cold-start users and controversial items by a new similarity model.,Int. J. Web Inf. Syst.,126-149,2016,Journal Articles,closed,10.1108/IJWIS-07-2015-0024
21049,Exploiting the Beta Distribution-Based Reputation Model in Recommender System.,Australasian Conference on Artificial Intelligence,1-13,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-26350-2_1
21050,PHD: A Probabilistic Model of Hybrid Deep Collaborative Filtering for Recommender Systems.,ACML,224-239,2017,Conference and Workshop Papers,open,
21051,Advanced Personalized Feedback in e-Assessment Systems with Recommender Engine.,WSKS,179-184,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-35879-1_22
21052,Solving the cold-start problem in scientific credit allocation.,J. Informetrics,101157,2021,Journal Articles,closed,10.1016/J.JOI.2021.101157
21053,A web-based consumer-oriented intelligent decision support system for personalized e-services.,ICEC,429-437,2004,Conference and Workshop Papers,closed,10.1145/1052220.1052274
21054,When Attention Turn To Be Explanation. A Case Study in Recommender Systems.,xAI,129-134,2023,Conference and Workshop Papers,open,
21055,Combining Social Music and Semantic Web for Music-related Recommender Systems.,SDoW@ISWC,,2008,Conference and Workshop Papers,open,
21056,A Recommender System for Scientific Datasets and Analysis Pipelines.,CoRR,,2021,Informal and Other Publications,open,
21057,Performance Comparison of Featured Neural Network Trained with Backpropagation and Delta Rule Techniques for Movie Rating Prediction in Multi-criteria Recommender Systems.,Informatica,,2016,Journal Articles,open,
21058,A Multi-objective Optimization Approach for Secure Communications Based on Collaborative Beamforming in UAV Networks.,WCNC,1-6,2023,Conference and Workshop Papers,closed,10.1109/WCNC55385.2023.10119102
21059,Supervised Advantage Actor-Critic for Recommender Systems.,WSDM,1186-1196,2022,Conference and Workshop Papers,closed,10.1145/3488560.3498494
21060,A Recommender System for Learning Goals.,WSKS,515-521,2011,Conference and Workshop Papers,closed,10.1007/978-3-642-35879-1_64
21061,Enhancing Recommender Systems Using Linked Open Data-Based Semantic Analysis of Items.,AWC,11-17,2015,Conference and Workshop Papers,closed,
21062,PriMe: Human-centric privacy measurement based on user preferences towards data sharing in mobile participatory sensing systems.,PerCom,1-8,2016,Conference and Workshop Papers,closed,10.1109/PERCOM.2016.7456518
21063,A Social Network-Based Recommender System (SNRS).,Data Mining for Social Network Data,47-74,2010,Parts in Books or Collections,closed,10.1007/978-1-4419-6287-4_4
21064,A Survey of Personalized Recommendation Algorithm Selection Based on Meta-learning.,CSIA,1383-1388,2019,Conference and Workshop Papers,closed,10.1007/978-3-030-15235-2_191
21065,Fitting Personalized Mechanistic Mathematical Models of Acute Myeloid Leukaemia to Clinical Patient Data.,BIOINFORMATICS,170-175,2021,Conference and Workshop Papers,closed,10.5220/0010345701700175
21066,ORSUM - Workshop on Online Recommender Systems and User Modeling.,RecSys,619-620,2020,Conference and Workshop Papers,closed,10.1145/3383313.3411531
21067,A Joint Passenger Flow Inference and Path Recommender System for Deploying New Routes and Stations of Mass Transit Transportation.,ACM Trans. Knowl. Discov. Data,6:1-6:36,2022,Journal Articles,closed,10.1145/3451393
21068,A Survey on Recommender Systems for News Data.,Smart Information and Knowledge Management,129-151,2010,Parts in Books or Collections,closed,10.1007/978-3-642-04584-4_6
21069,Multi-task Item-attribute Graph Pre-training for Strict Cold-start Item Recommendation.,RecSys,322-333,2023,Conference and Workshop Papers,closed,10.1145/3604915.3608806
21070,GIS Approach for Collaborative Monitoring and Prediction of Environmental Noise in Urban areas.,Int. J. Knowl. Soc. Res.,1-25,2016,Journal Articles,closed,10.4018/IJKSR.2016010101
21071,Learning social regularized user representation in recommender system.,Signal Process.,306-310,2018,Journal Articles,closed,10.1016/J.SIGPRO.2017.09.015
21072,Fast Item-Based Collaborative Filtering.,ICAART,457-463,2015,Conference and Workshop Papers,unavailable,
21073,ALEF: From Application to Platform for Adaptive Collaborative Learning.,Recommender Systems for Technology Enhanced Learning,195-225,2014,Parts in Books or Collections,closed,10.1007/978-1-4939-0530-0_10
21074,Personalized Feedback Enhanced by Natural Language Processing in Intelligent Tutoring Systems.,ITS,667-677,2023,Conference and Workshop Papers,closed,10.1007/978-3-031-32883-1_58
21075,Hierarchical User Profiling for E-commerce Recommender Systems.,WSDM,223-231,2020,Conference and Workshop Papers,closed,10.1145/3336191.3371827
21076,PRES - Personalized Evaluation System in a Web Community - A Conceptual Model Designed to Evaluate Reputation in Order to Achive a Personalised View on the System for Each User.,ICE-B,64-69,2008,Conference and Workshop Papers,unavailable,
21077,Multimode Processes Monitoring based on Slow Feature Analysis with Personalized Modeling.,CAA SAFEPROCESS,1-6,2021,Conference and Workshop Papers,closed,10.1109/SAFEPROCESS52771.2021.9693604
21078,Full system for translational studies of personalized medicine with free-moving mice.,ISCAS,1774-1777,2015,Conference and Workshop Papers,closed,10.1109/ISCAS.2015.7168998
21079,A Peer-to-Peer Approach to Content Dissemination and Search in Collaborative Networks.,International Conference on Computational Science,391-398,2005,Conference and Workshop Papers,open,10.1007/11428862_54
21080,"Proceedings of the 2010 ACM Conference on Recommender Systems, RecSys 2010, Barcelona, Spain, September 26-30, 2010",RecSys,,2010,Editorship,unavailable,
21081,GUMCARS: General User Model for Context-Aware Recommender Systems.,Comput. Informatics,1149-1183,2018,Journal Articles,closed,10.4149/CAI_2018_5_1149
21082,Improving Collaborative Filtering Algorithms: Sentiment-based Approach in Social Network.,Int. J. Knowl. Soc. Res.,99-118,2016,Journal Articles,closed,10.4018/IJKSR.2016070107
21083,Modeling Sequential Preferences with Dynamic User and Context Factors.,ECML/PKDD,145-161,2016,Conference and Workshop Papers,closed,10.1007/978-3-319-46227-1_10
21084,Generating inter-dependent data streams for recommender systems.,Simul. Model. Pract. Theory,1-16,2018,Journal Articles,closed,10.1016/J.SIMPAT.2018.07.013
21085,A Real-Time Energy and Cost Efficient Vehicle Route Assignment Neural Recommender System.,CoRR,,2021,Informal and Other Publications,open,
21086,Clinically Relevant Adaptive Modeling for Personalized Drug Dosing.,CHASE,128-129,2021,Conference and Workshop Papers,closed,10.1109/CHASE52844.2021.00029
21087,Toward Legal Argument Instruction with Graph Grammars and Collaborative Filtering Techniques.,Intelligent Tutoring Systems,227-236,2006,Conference and Workshop Papers,closed,10.1007/11774303_23
21088,Collaborative filtering based on group coordinates for smoothing and directional sharpening.,ICASSP,1573-1577,2015,Conference and Workshop Papers,closed,10.1109/ICASSP.2015.7178235
21089,A coarse-to-fine user preferences prediction method for point-of-interest recommendation.,Neurocomputing,1-11,2021,Journal Articles,closed,10.1016/J.NEUCOM.2020.09.034
21090,"Proceedings of the 1st International Workshop on Information Heterogeneity and Fusion in Recommender Systems, HetRec '10, Barcelona, Spain, September 26, 2010",HetRec@RecSys,,2010,Editorship,,10.1145/1869446
21091,A Competency-Oriented Modeling Approach for Personalized E-Learning Systems.,ICIW,410-415,2008,Conference and Workshop Papers,closed,10.1109/ICIW.2008.117
21092,PipAttack: Poisoning Federated Recommender Systems forManipulating Item Promotion.,CoRR,,2021,Informal and Other Publications,open,
21093,A hybrid recommender system for e-learning based on context awareness and sequential pattern mining.,Soft Comput.,2449-2461,2018,Journal Articles,closed,10.1007/S00500-017-2720-6
21094,A New Approach for E-Learning in Collaborative Networks.,PRO-VE,539-546,2005,Conference and Workshop Papers,open,10.1007/0-387-29360-4_57
21095,When Media Gets Wise: collaborative filtering with mobile media agents.,IUI,291-293,2006,Conference and Workshop Papers,closed,10.1145/1111449.1111514
21096,Automated Framework for the Augmentation of Missing Anatomical Structures and Generation of Personalized Atrial Models from Clinical Data.,CinC,1-4,2021,Conference and Workshop Papers,closed,10.23919/CINC53138.2021.9662846
21097,Matrix Factorization Techniques for Context-Aware Collaborative Filtering Recommender Systems: A Survey.,Comput. Inf. Sci.,1-10,2018,Journal Articles,open,10.5539/CIS.V11N2P1
21098,Conversational Recommender System and Large Language Model Are Made for Each Other in E-commerce Pre-sales Dialogue.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2310.14626
21099,A Concept-Based Text Analysis Approach Using Knowledge Graph.,IPMU,696-708,2018,Conference and Workshop Papers,closed,10.1007/978-3-319-91476-3_57
21100,"Proceedings of the Workshop on the Practical Use of Recommender Systems, Algorithms and Technologies, PRSAT 2010, Barcelona, Spain, September 30, 2010.",CEUR Workshop Proceedings,,2010,Editorship,open,
21101,MetaGC-MC: A graph-based meta-learning approach to cold-start recommendation with/without auxiliary information.,Inf. Sci.,791-811,2023,Journal Articles,closed,10.1016/J.INS.2022.12.030
21102,Leveraging Image Visual Features in Content-Based Recommender System.,Sci. Program.,5497070:1-5497070:8,2018,Journal Articles,open,10.1155/2018/5497070
21103,uCTRL: Unbiased Contrastive Representation Learning via Alignment and Uniformity for Collaborative Filtering.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2305.12768
21104,RL4RS: A Real-World Benchmark for Reinforcement Learning based Recommender System.,CoRR,,2021,Informal and Other Publications,open,
21105,Personalized Recommendation Model of Electric Power Information Operation and Maintenance Knowledge Based on Collaborative Filtering.,CSIA,630-636,2021,Conference and Workshop Papers,closed,10.1007/978-3-030-70042-3_90
21106,Метод определения подобия информационных единиц по неявным пользовательским предпочтениям в рекомендательных системах поддержки жизнеобеспечения (Determination of Similarity of Information Entities Based on Implicit User Preferences in Life-Support Recommender Systems).,DAMDID/RCDL,104-109,2016,Conference and Workshop Papers,open,
21107,Personalized Expert-Based Recommender System: Training C-SVM for Personalized Expert Identification.,MLDM,434-441,2013,Conference and Workshop Papers,closed,10.1007/978-3-642-39712-7_33
21108,"Proceedings of the 1st Workshop on Recommender Systems for Technology Enhanced Learning, RecSysTEL 2010, Barcelona, Spain, September 29-30, 2010",Procedia Computer Science,,2010,Editorship,,
21109,User Timeline and Interest-Based Collaborative Filtering on Social Network.,ICCASA,132-140,2015,Conference and Workshop Papers,closed,10.1007/978-3-319-29236-6_14
21110,"ANTENNA, a Multi-Rank, Multi-Layered Recommender System for Inferring Reliable Drug-Gene-Disease Associations: Repurposing Diazoxide as a Targeted Anti-Cancer Therapy.",IEEE ACM Trans. Comput. Biol. Bioinform.,1960-1967,2018,Journal Articles,closed,10.1109/TCBB.2018.2812189
21111,Fuzzy Collaborative Filtering for Web Page Prediction.,JCIS,,2006,Conference and Workshop Papers,open,10.2991/JCIS.2006.233
21112,Gene-based Collaborative Filtering using recommender system.,Comput. Electr. Eng.,332-341,2018,Journal Articles,closed,10.1016/J.COMPELECENG.2017.04.010
21113,Robust Model-Based Reliability Approach to Tackle Shilling Attacks in Collaborative Filtering Recommender Systems.,IEEE Access,41782-41798,2019,Journal Articles,open,10.1109/ACCESS.2019.2905862
21114,Recommender Systems meet Mechanism Design.,CoRR,,2021,Informal and Other Publications,open,
21115,Personalized Modeling Based Gene Selection for Microarray Data Analysis.,ICONIP,1221-1228,2008,Conference and Workshop Papers,closed,10.1007/978-3-642-02490-0_148
21116,Nearest-Biclusters Collaborative Filtering with Constant Values.,WEBKDD,36-55,2006,Conference and Workshop Papers,closed,10.1007/978-3-540-77485-3_3
21117,"Proceedings of the 8th Workshop on Intelligent Techniques for Web Personalization & Recommender Systems, ITWP@UMAP 2010, Big Island, HI, USA, June 20, 2010",CEUR Workshop Proceedings,,2010,Editorship,open,
21118,Co-Desnet: An Approach to Modeling Collaborative Demand and Supply Network.,PRO-VE,49-56,2005,Conference and Workshop Papers,open,10.1007/0-387-29360-4_5
21119,Few-Shot Human Motion Transfer by Personalized Geometry and Texture Modeling.,CVPR,2297-2306,2021,Conference and Workshop Papers,open,10.1109/CVPR46437.2021.00233
21120,DaRE: A Cross-Domain Recommender System with Domain-aware Feature Extraction and Review Encoder.,CoRR,,2021,Informal and Other Publications,open,
21121,A collaborative resequencing approach enabled by multi-core PREA for a multi-stage automotive flow shop.,Expert Syst. Appl.,121825,2024,Journal Articles,closed,10.1016/J.ESWA.2023.121825
21122,Detecting Profile Injection Attacks in Collaborative Filtering: A Classification-Based Approach.,WEBKDD,167-186,2006,Conference and Workshop Papers,closed,10.1007/978-3-540-77485-3_10
21123,Privacy-Preserving Friendship-Based Recommender Systems.,IEEE Trans. Dependable Secur. Comput.,784-796,2018,Journal Articles,closed,10.1109/TDSC.2016.2631533
21124,A new user similarity measure in a new prediction model for collaborative filtering.,Appl. Intell.,586-615,2021,Journal Articles,closed,10.1007/S10489-020-01811-3
21125,Recommender Systems.,Encyclopedia of Machine Learning,829-838,2010,Reference Works,closed,10.1007/978-0-387-30164-8_705
21126,Privacy-Preserving Multi-Target Multi-Domain Recommender Systems with Assisted AutoEncoders.,CoRR,,2021,Informal and Other Publications,open,
21127,Understanding Effects of Personalized vs. Aggregate Ratings on User Preferences.,IntRS@RecSys,14-21,2016,Conference and Workshop Papers,open,
21128,A Constrained Spreading Activation Approach to Collaborative Filtering.,KES,766-773,2006,Conference and Workshop Papers,closed,10.1007/11893011_97
21129,Knowledge-based formal modeling for CPPS in personalized intelligent manufacturing.,DASC/PiCom/CBDCom/CyberSciTech,371-378,2021,Conference and Workshop Papers,closed,10.1109/DASC-PICOM-CBDCOM-CYBERSCITECH52372.2021.00070
21130,The recommender system for a cloud-based electronic medical record system for regional clinics and health centers in China.,BIBM,1021-1024,2017,Conference and Workshop Papers,closed,10.1109/BIBM.2017.8217797
21131,Recommender system architecture based on Mahout and a main memory database.,J. Supercomput.,105-121,2018,Journal Articles,closed,10.1007/S11227-017-2111-X
21132,From Intrinsic to Counterfactual: On the Explainability of Contextualized Recommender Systems.,CoRR,,2021,Informal and Other Publications,open,
21133,Recommender Systems.,Encyclopedia of Database Systems,,2018,Reference Works,closed,10.1007/978-1-4614-8265-9_80732
21134,Cross System Personalization and Collaborative Filtering by Learning Manifold Alignments.,KI,244-259,2006,Conference and Workshop Papers,closed,10.1007/978-3-540-69912-5_19
21135,On the Conceptualization of Tools for Traceability-Based Change Impact Analysis Using a Domain-Specific Modeling Approach.,MoDELS,257-265,2023,Conference and Workshop Papers,closed,10.1109/MODELS-C59198.2023.00055
21136,Service recommender system based on emotional features and social interactions.,Kybernetes,236-255,2017,Journal Articles,closed,10.1108/K-01-2016-0014
21137,"FINN.no Slates Dataset: A new Sequential Dataset Logging Interactions, allViewed Items and Click Responses/No-Click for Recommender Systems Research.",CoRR,,2021,Informal and Other Publications,open,
21138,Solving the Cold-Start Problem in Recommender Systems with Social Tags,CoRR,,2010,Informal and Other Publications,open,
21139,Improving end-system recommender systems using cross-platform personal information.,,,2017,Books and Theses,closed,
21140,Defense Against Model Extraction Attacks on Recommender Systems.,CoRR,,2023,Informal and Other Publications,open,10.48550/ARXIV.2310.16335
21141,Combining Cognitive and Machine Learning Models to Mine CPR Training Histories for Personalized Predictions.,EDM,,2021,Conference and Workshop Papers,unavailable,
